新聞,類別
股價波動/股民獲利/股民結構/減少/淨利。,0
競爭/股價/投資/業績/股票,1
收購/自營商買超/熱門股/投資風險/樂觀氛圍,0
收購/競爭/持股/交易/表現,2
競爭/收購/合作/持股/交易,2
投資/股價/漲幅/0050指數/波動度/單一股風險/分散投資/指數型ETF/投資策略/穩健賺錢,0
競爭/投資/風險/設廠/芯片價格,0
持股/收益/股價波動/股災/股東,1
上漲/漲停/強勢表現/跌停/提醒投資,0
競爭/股價下跌/指數下跌/市場震盪/風險,0
下跌/科技股/美股/陸股/救市措施,0
競爭/股指期/投資人/台股/台積電,0
收盤點數/成交量/股價表現/政策受惠股/漲跌幅,0
下挫/股市/預期/股價/電費調漲,0
天氣/科技公司/颱風影響/防災措施/股價上漲,0
收購/合作/競爭/持股/市場情勢,2
股價大漲/外資賣超/人工智慧晶片/電價調漲/9月營收,0
合作/新車款/展示/設計/推出,3
競爭/貿易/市場擴張/經濟數據/股票市場,0
收購/全球布局/生產基地/營收增長/投資,1
收購/競爭/持股/市場動向/投資建議,1
自然災害/天氣警報/颱風警報/降雨警報/風力增強,4
合作/多邊演習/南海/台灣海峽/驅逐艦,3
投資/ETF/定期定額/長線投入/獲利/利潤/賣出/持續投資/每月定期/長期利潤/股息/大跌/分批買進/成本,0
合作/宣傳/討論/節目/分享,3
收購/合作/競爭/持股/交易,2
競爭/潛能發揮/持久努力/影片分享/江湖人物,3
自然災害/防災措施/海浪/水量增加/陣風,3
競爭/合作/潛能/韌性/江湖,3
合作/職棒生涯/亞洲選球王/冠軍/個人成績,3
合作/競爭/供應/降價促銷/民眾囤貨,3
合作/競爭/社群媒體/演藝圈/粉絲,3
房市景氣循環/央行干預投資/買房機會/房市熱度調整/房地產市場景氣,4
競爭/關閉領空/取消航班/暫停航班/飛越領空,3
競爭/交易/指數/政策措施/市場流入,0
收購/合作/競爭/持股/交易,2
競爭/交易/持股/合作/收購,2
合作/環保政策/國際交流/資源使用效率/產業升級,3
合作/交易/減持/競爭/持股,2
合作/技術應用/氣象預測/颱風路徑預測/自然災害評估,3
合作/技術應用/天氣預測/自然災害/科技創新,3
競爭/投資者/股價/市場反彈/做空,1
減持/交易/持股/投資組合/股災,1
持股/競爭/合作/減持/交易,2
競爭/持股/財務改革/能源問題/供電穩定,0
交易/持股/投資組合/市值型基金/股息ETF,1
合作/環保政策/循環經濟/全球/產業轉型,3
合作/競爭/創新/硬體升級/智慧助理,3
競爭/減持/交易/持股/市場預測,1
收購/合作/競爭/產品特色/市場表現,1
合作/臨時停泊優惠/碼頭服務/颱風期間/船難安全,3
競爭/排行榜/羽球選手/世界排名/挑戰,3
合作/退役/教練/運動媒體/棒球,3
合作/競爭/退役/棒球選手/冠軍,3
合作/競爭/訓練營/球衣/籃球,3
合作/訓練營/球衣/球員合照/訓練強度,3
婚姻破裂/離婚/家務分擔/法院支持/網路交鋒,3
合作/競爭/學習/颱風假/校園安全,3
童年回憶/橄欖/檳榔/健康警示/快樂找尋,3
合作/獎金/商家/發票/消費品种,3
合作/颱風山陀兒與氣象署合作預測/防風/強風影響西南部地區，需注意防風/防災/南部沿海地區應防颱風暴潮/降雨/強降雨持續，中北部降雨明顯增加/預警/應謹慎防範颱風帶來的降雨變化,3
合作/法律服務/溝通/律師/案件,3
合作/挑戰/政策刺激/去槓桿行動/歷史性轉折點,3
合作/交通安全/公共安全/照顧家屬/撫卹待遺眷。,3
房市檔期/推案量減少/建商延後推案/市況不佳/消費者不需搶房,4
合作/競爭/官威/總統府否認/爭議,3
合作/獎項/金融教育/金融商品/詐騙犯罪,3
競爭/批評/透明揭露/政策分析/壓力增加,3
合作/競爭/營業時間調整/外送/預購商品,3
競爭/運輸/罷工/經濟/大選前景,3
合作/競爭/經濟形勢/政治局/債務,3
競爭/影響/工業用戶/電價上漲/晶片製造商,3
競爭/房價下跌/成交量減少/市區重建局/趋势反转,3
投資/政府支持投資者/基金地位/交易搓合者,0
收購/合作/競爭/增長/旅遊需求,3
減持/拆款/銀行資金供應/外資銀行/營所稅上繳,0
競爭/交易/投資/避險/外匯,0
合作/原油產量/會議/供應增加/推遲,3
競爭/農產品/價格上漲/指數/漲幅,0
合作/經濟指數/全球債券/財政部長/南韓。,4
政策溝通/經濟風險/利率/央行/會議,4
合作/加薪/罷工/談判/合同延長,3
合作/競爭/全球影響力/解決長期成長問題/美國經濟,3
投資/融資/估值籌集/商談/領投,1
合作/競爭/市場/利率/刺激措施,0
合作/市況/颱風假/資金調度/利率上升,0
經濟復甦/工業產值/零售額/日本經濟/新首相,4
合作/降息/房地產市場/全球股市上漲/監管措施,4
製造業/PMI/政府刺激措施/經濟/製造業收縮,4
收購/半導體產業/人工智能晶片/制裁/外依賴,3
減持/下調利潤率預測/競爭加劇/減產/促銷支出,0
競爭/經濟預期/下調預期/2024年經濟預測/停滯,4
競爭/市場/日圓/波動/上漲,0
減持/供應鏈中斷/中國需求疲軟/火災和洪災影響/財務困境,4
合作/收購/競爭/關閉/客戶服務,1
競爭/市佔率/銷量/下降/未來變化,0
競爭/罷工/政府/港口管理/影響,3
合作/刺激計畫/股票指數/全球股市/最大贏家,0
合作/貿易/匯率/新興市場貨幣/刺激措施,4
競爭/政策/房地產市場/商品期貨/城市限購,0
延遲設廠/半導體產業/補助款爭議/全球半導體供應目標/工廠規模,3
收購/裁員/公司治理/經營策略/股價下跌,1
合作/競爭/重要職位,3
合作/外交/和平/中東地區/衝突,3
合作/谈判/工会/养老金问题/工资增长,3
競爭/民意調查/經濟議程/領先/川普,3
減產/超產/油價下跌/市場懷疑/欺騙行為,3
競爭/合作/交易/持股/減持,2
合作/購買/援助/會議/訪問,3
金融政策調節/逆回購操作利率/存款準備金率/經濟復甦/貨幣政策调节,4
投資者行為/政府措施/資產投資/中國市場/投資決策,0
競爭/製造業/利潤下降/工業企業/增長,0
競爭/收購/市場表現/利率/季節性,0
競爭/停戰/反對/空袭/发表,3
合作/收購/競爭/貿易/生產,2
貨幣政策/通膨預期/降息/物價預期/調查,4
合作/競爭/利率保持穩定/營所稅預繳/存款準備金率調整,4
競爭/通膨/價格漲幅/能源補貼/夏季高溫,4
競爭/投資/經濟成長/信用市場/降息,0
合作/競爭/持股/政策/利率,1
合作/融資/銀行/貸款/企業,0
合作/競爭/人才外流/金融會議/新興市場,3
競爭/政策/上證指數/中國股市/上證交易系統,0
降息加速/通膨率/消費者價格/能源價格下跌/統計機構Insee,4
競爭/收購/合作/持股/交易,2
競爭/經濟刺激措施/銅價漲幅/房地產市場/銅需求,4
競爭/市場規模/資金流入/降息政策/投資者情緒,0
競爭/風險/股市崩潰/經濟風險/聯準會降息,4
停牌/撤換行政總裁/虧損/首席營運總監/接替,0
合作/薪資談判/工會/罷工/停工,3
競爭/全球貿易/開發中國家/生產轉移/風險,3
競選團隊/起訴/貪腐調查/紐約南區檢察官辦公室/聯邦調查局,3
競爭/政策支持/短暫現象/刺激措施/通縮,4
降息/央行/利率/瑞士法郎/物價穩定,4
收購/競爭/合作/持股/減持,2
競爭/外匯市場/利率預期/交易/跌勢,0
競爭/利率調整/經濟數據/金融政策/風險管理,4
收購/競爭/利率/IRS/TAIBOR,1
合作/軍事溝通改善/彈道飛彈通報/太空發射情況/透明度,3
合作/財政支出/經濟問題/發展目標/房地產市場,3
合作/競爭/外交政策/貨幣政策/政治壓力,3
合作/和平談判/臨時停火/中東/外交解決方案,3
競爭/人事變動/技術/個人探索/平穩過渡,3
競爭/調查/華裔美國人/種族偏見/歧視,3
合作/停火/談判/國際外交/衝突,3
收購/合作/競爭/利潤預測/營收預測,1
競選活動/聯邦撥款法案/政府關門/議員/華盛頓,3
競爭/降息/利率/未來/疫情,0
競爭/美國總統大選/股市/預測/持續上揚,0
政策調整/烈酒稅/夜生活/稅收/施政報告,0
分析師推薦股票/股市/下調評級/印度股市/十年最低,0
競爭/交易/利率/標售/消費者信心,0
發行/計價債券/財政部/期/利率/投資者,0
投資/合作/持股,2
收購/合作/競爭/持股/資金流入,2
競爭/私人信貸市場/另類資產投資/全球潮流,0
收購/股票大跌/財富暴跌,1
降息/提供現金/刺激購房/股市平準基金/經濟景氣,4
合作/競爭/收購/調查/涉及,2
重要類別：市場預測/人工智能應用/企業/經濟/市場成長,4
合作/收購/持股/交易/準備工作,1
投資/市場表現/股票/替代投資/資金流入,0
收購/估值/提議/報價/協議,1
合作/改革措施/養老基金/南韓政府/衛生福利部,3
合作/競爭/政策/氣候變化/可持續發展,3
合作/競爭/債務問題/債券市場風險,0
競爭/匯率/全球風險資產/刺激措施/央行積極阻止,4
競爭/經濟成長/降息/聯準會/利率,4
收購/競爭/價格/貴金屬/美國經濟,0
競爭/衝突/支持/官員/死亡,3
減持/持股/交易/美國銀行/波克夏,1
收購/競爭/合作/持股/交易,2
合作/競爭/政策正常化/貨幣政策前景/獨立於政府,3
交易/央行政策/公債發行/殖利率/做空条件,4
合作/利率/經濟危機/貝利/衝擊,4
持股/競爭/收購,2
競爭/合作/安全/社交媒體/加密貨幣,3
合作/競爭/政策措施/經濟放緩/全球不穩定,3
合作/投資/市場/成長/亞太地區,3
競爭/政策調整/金融市場/海外經濟/央行,4
合作/競爭,2
政策調整/利率下降/國債殖利率/央行宣布/政策寬鬆,4
競爭/合作/持股/收購/交易,2
競爭/安全/全球經濟活動/人工智能/半導體,3
收購/合作/競爭/持股/減持,2
競爭/投資/經濟振興/股票市場/國債利率,4
收購/合作/持股/競爭/投資,2
合作/競爭/重新聘回/投資組合經理/大宗商品業務,0
合作/持股/資金來源/證券公司/流動性增長,0
競爭/政策支持/股市上漲/國企指數/央行平准基金,4
經濟/政府債券投資/殖利率曲線/倒掛現象/長短期殖利率,4
競爭/合作/貿易/農業/美中关系,3
合作/員工薪資調整/罷工威脅解決,3
合作/需求/價格上漲/貨幣政策調整/利率調整,4
降低存款準備金率/降低逆回購操作利率/支持經濟復甦/央行行長發布會/經濟政策調整,4
合作/施壓/主持/經濟體/行動,3
競爭/轉型/基金/股票/ETF,1
合作/改革/聯合國世貿組織/多邊貸款機構/全球治理,3
合作/不信任投票/內閣混合派別/極右翼協力/公共財政,3
投資建議/資金調整/匯率風險/境外市場/人民幣貶值,4
競爭/政策/房市/經濟成長/援助計畫,3
合作/競爭/辯論/公平性/投票,3
競爭/利率/交易/供需/政策,0
合作/競爭/收購/持股/交易,2
貨幣政策/經濟發展/通脹風險/利率調整/服務業成長,4
合作/競爭/利率路徑/金價路徑/現貨黃金,0
競爭/合作/收購/破產/整合,2
降低借貸成本/住房成交量/中原地產數據/成交量下降/周末成交,0
合作/競爭/降息/新聞發布會/經濟增長力度加大,0
合作/競爭/持股/減持/交易,2
合作/競爭/國際局勢/戰略制衡/領導人交流,3
收購/提高報價/估值/澳洲公司/英國公司,1
合作/拓展/金融市場/避險基金/海外市場,0
投資/英特爾/金額/信心/知情人,0
管理層改組/罷免負責人/高管離職/首席運營官臨時接任/公司重大改革,0
收購/合作/競爭/持股/交易,2
合作/競爭/政策/科技/安全,3
合作/貨幣政策/央行/通膨目標/經濟風險,4
收購/競爭/持股/經濟/投資,1
合作/競爭/產品推出,3
收購/股價飆升/晶片行業/高通公司/交易,1
合作/限制解除/核污水事件檢測/國際機構參與,3
合作/社交媒體刪除/言論回覆/錯誤貼文,3
降息率變動/存款準備金率/央行/綜合銀行/商業銀行,4
競爭/財務預測/中國業務/銷售回報率/德國工業,0
合作/競爭/持股/交易,2
收購/合作/競爭/持股/交易,2
政策轉向/金價上揚/聯準會降息/美元走弱/利率前景,4
合作/通脹/聯儲會/降息計劃/風險,4
清盤/香港高等法院/子公司/中國恒大/CEGHoldingsBVILtd,0
合作/決策/外匯/股市/利率,0
收購/融資/信貸/循環信貸/境外公司,1
競爭/持股/政策會議/消費者價格指數CPI/基準利率,0
收購/合作/競爭/利率穩定/利率維持不變,1
股價下跌/銷售壓力/財務長/最大跌幅/周四,0
增長/預測/全球富人/資產轉移/亞洲,0
競爭/零售/消費者/商店和網上銷售/國家統計局,3
競爭/政策/住房市場/一線城市/購房限制,0
競爭/利率政策/降息/通脹/總統選舉,4
投資/高鐵項目/資金籌集/中國大陸/國有企業,0
競爭/合作/交易,2
減持/交易/持股/獲利/披露文件,1
合作/利率調整/經濟狀況/通膨/預測,4
競爭/持股/原油價格/石油業者/股東回饋,1
私募信貸/浮息債務/加息環境/基準利率降低/固定收益投資,4
競爭/投資组合/预测/美国总统大选/转变,0
競爭/市場表現,1
降息/交易/聯準會/市場/口風,4
